distance_km,fuel_price,hour,day_of_week,traffic_level,weather,vehicle_type,fare
17.95,4007.89,8,0,3,0,Boda Boda,11000
38.05,5907.32,22,0,1,0,Taxi,30000
20.91,5563.05,11,0,1,1,Boda Boda,12500
32.18,4647.6,21,0,1,0,Mini Bus,9500
9.69,4405.12,16,5,1,0,Boda Boda,4500
19.92,4067.95,22,1,1,0,Mini Bus,7000
24.43,5399.68,6,3,2,1,Mini Bus,13000
34.82,4356.84,22,2,1,0,Boda Boda,15500
16.03,4866.0,11,5,1,0,Special Hire,19500
8.05,5176.32,16,5,1,0,Special Hire,10500
38.7,4661.96,13,6,1,0,Boda Boda,15500
43.04,4411.33,18,0,2,1,Boda Boda,25000
17.51,5449.68,0,6,1,0,Special Hire,25500
12.23,4525.17,16,6,2,0,Special Hire,17500
3.17,4665.98,6,1,2,0,Taxi,3000
40.85,5737.52,11,2,1,0,Special Hire,52000
15.27,5547.07,10,4,1,0,Special Hire,20000
29.97,4554.02,2,2,1,0,Taxi,20000
5.33,5703.42,8,6,2,0,Boda Boda,4000
27.66,5957.9,3,2,1,0,Special Hire,43000
18.58,5278.85,0,0,1,0,Taxi,14000
42.6,5657.97,3,3,1,1,Taxi,40500
36.18,4264.59,0,3,1,0,Mini Bus,12000
5.28,5837.63,2,2,1,0,Taxi,5000
17.04,4168.9,5,5,1,0,Boda Boda,8000
9.45,5730.03,14,4,1,0,Taxi,7000
18.86,5233.3,9,6,3,0,Special Hire,36500
44.39,4225.37,6,2,1,0,Special Hire,48000
21.78,6360.09,6,6,1,0,Mini Bus,8500
13.75,5852.48,10,6,1,1,Boda Boda,9000
26.15,6201.91,19,4,3,0,Boda Boda,20000
35.3,5174.16,14,3,1,0,Special Hire,42000
30.02,4083.33,19,0,3,0,Special Hire,48000
27.89,5638.82,19,2,3,0,Boda Boda,19500
11.82,5541.68,19,5,2,0,Boda Boda,7500
19.27,4543.19,10,4,1,0,Boda Boda,8500
41.27,6315.03,2,5,1,0,Taxi,34000
20.28,4852.02,0,3,1,0,Taxi,14500
43.56,5184.23,4,6,2,0,Taxi,37000
0.8,6440.63,6,1,1,0,Special Hire,2000
38.87,5902.3,2,0,1,0,Boda Boda,21000
12.13,4284.48,17,4,2,0,Boda Boda,6500
42.93,5345.77,7,0,3,0,Taxi,39500
27.25,6028.95,8,3,2,0,Boda Boda,16000
19.3,4963.23,15,4,1,1,Mini Bus,8000
19.05,6052.11,0,3,1,0,Special Hire,30000
6.51,6271.13,9,5,3,0,Mini Bus,4500
28.66,5345.66,15,5,2,0,Mini Bus,11500
1.24,4318.44,4,1,1,0,Special Hire,2500
32.0,6079.19,0,0,1,1,Mini Bus,17000
41.27,5483.87,6,0,1,0,Taxi,27000
19.29,6472.32,16,2,2,0,Special Hire,34500
40.53,4597.88,6,5,2,0,Boda Boda,20000
1.9,4605.92,23,4,2,0,Taxi,3000
23.56,4507.87,1,0,1,0,Special Hire,30500
15.23,5775.19,1,4,2,0,Special Hire,28000
35.97,4995.14,4,4,1,0,Boda Boda,18000
9.45,6127.07,2,2,1,0,Taxi,8500
27.43,4132.21,12,5,1,0,Special Hire,29500
32.33,5700.35,7,4,3,1,Special Hire,80500
33.27,4211.68,8,2,2,0,Taxi,21500
15.32,5018.38,10,2,1,0,Taxi,10000
20.73,5549.77,15,4,1,0,Mini Bus,7500
5.2,5667.96,18,0,3,0,Taxi,6500
2.51,4545.21,3,5,1,1,Mini Bus,2500
18.76,5165.0,11,4,1,0,Special Hire,23000
18.04,4195.32,12,0,1,0,Special Hire,19500
24.56,5840.1,13,0,1,0,Taxi,16500
4.25,6357.01,19,2,3,0,Special Hire,10000
43.79,5461.63,13,3,1,0,Taxi,29000
34.7,5470.33,11,1,1,0,Special Hire,44500
5.28,5499.89,3,6,1,0,Taxi,5000
6.56,6112.05,1,1,1,1,Mini Bus,4500
